OBJECTID;NumeroZona;NomeZona;NumeroMuni;NomeMunici;NumDistrit;NomeDistri;Area_ha_2;ORIG_FID;COORD_X;COORD_Y
52;52;Vila Mariana;36;S?o Paulo;92;Vila Mariana;59.61000061;52;-46.6314463508368;-23.585273252501
53;53;Santa Cruz;36;S?o Paulo;92;Vila Mariana;108.5199966;53;-46.6299773406619;-23.5956128148182
54;54;Vila Clementino;36;S?o Paulo;92;Vila Mariana;93.69999695;54;-46.6431528373371;-23.5961009236424
55;55;Fran?a Pinto;36;S?o Paulo;92;Vila Mariana;112.1399994;55;-46.641250218773;-23.5894392142519
56;56;Rodrigues Alves;36;S?o Paulo;92;Vila Mariana;103.5500031;56;-46.6526484543698;-23.5835887300245
57;57;Para?so;36;S?o Paulo;92;Vila Mariana;96.27999878;57;-46.6451393148152;-23.5779983041845
58;58;Bosque da Sa?de;36;S?o Paulo;79;Sa?de;169.9100037;58;-46.6316112917854;-23.6059856198349
59;59;Sa?de;36;S?o Paulo;79;Sa?de;260.8099976;59;-46.6351024291119;-23.6207464510457
60;60;Planalto Paulista;36;S?o Paulo;79;Sa?de;321.6600037;60;-46.6494846370011;-23.6178082464173
61;61;Mirand?polis;36;S?o Paulo;79;Sa?de;173.4499969;61;-46.6427405309939;-23.6050561815037
62;62;Parque Ibirapuera;36;S?o Paulo;53;Moema;283.7000122;62;-46.6560860624776;-23.5841945486991
63;63;Jardim Luzit?nia;36;S?o Paulo;53;Moema;103.0699997;63;-46.6557024699359;-23.5959218537599
64;64;Moema;36;S?o Paulo;53;Moema;175.1300049;64;-46.6587630335531;-23.6053624880921
65;65;Vila Helena;36;S?o Paulo;53;Moema;104.8199997;65;-46.6681778001799;-23.5993706102413
66;66;Bandeirantes;36;S?o Paulo;53;Moema;133.4199982;66;-46.6681747478606;-23.6099550062875
67;67;Vila Nova Concei??o;36;S?o Paulo;53;Moema;112.4800034;67;-46.6675392736065;-23.5886546684537
68;68;Ch?cara Itaim;36;S?o Paulo;34;Itaim Bibi;204.0099945;68;-46.6799394204984;-23.5846320137193
69;69;Vila Ol?mpia;36;S?o Paulo;34;Itaim Bibi;89.62999725;69;-46.6767919017304;-23.5916945048745
70;70;H?lio Pelegrino;36;S?o Paulo;34;Itaim Bibi;103.3799973;70;-46.6786609112451;-23.5998951935421
71;71;Brooklin;36;S?o Paulo;34;Itaim Bibi;234.25;71;-46.6847408297365;-23.6086875160844
72;72;Vila Cordeiro;36;S?o Paulo;34;Itaim Bibi;176.6900024;72;-46.6918958614125;-23.6190905808229
73;73;Berrini;36;S?o Paulo;34;Itaim Bibi;197.3899994;73;-46.6918372994572;-23.6008724005884
74;74;Campinas;36;S?o Paulo;44;Jardim Paulista;49.08000183;74;-46.6537981045791;-23.5661025031774
75;75;Pamplona;36;S?o Paulo;44;Jardim Paulista;51.34000015;75;-46.657327937189;-23.5696918993377
76;76;Jardins;36;S?o Paulo;44;Jardim Paulista;237.6999969;76;-46.6676904780403;-23.5725676911971
77;77;Cl?nicas;36;S?o Paulo;44;Jardim Paulista;128.7200012;77;-46.6749912234411;-23.5569636893526
78;78;Oscar Freire;36;S?o Paulo;44;Jardim Paulista;100.0100021;78;-46.6663736254146;-23.5635944230178
79;79;Trianon;36;S?o Paulo;44;Jardim Paulista;59.81000137;79;-46.6615052985847;-23.5587995166508
80;80;Jardim Paulistano;36;S?o Paulo;63;Pinheiros;98.98000336;80;-46.6850599369421;-23.5631325370995
81;81;Jardim Europa;36;S?o Paulo;63;Pinheiros;308.019989;81;-46.6840373767951;-23.5751610618929
82;82;Pinheiros;36;S?o Paulo;63;Pinheiros;202.5800018;82;-46.6962662478184;-23.5668149548769
83;83;Vila Madalena;36;S?o Paulo;63;Pinheiros;219.3099976;83;-46.6884898796884;-23.553706693756
84;84;PUC;36;S?o Paulo;61;Perdizes;73.31999969;84;-46.6710862935645;-23.5357986914905
85;85;Cardoso de Almeida;36;S?o Paulo;61;Perdizes;63.38999939;85;-46.6656877763903;-23.5393155424106
86;86;Zequinha de Abreu;36;S?o Paulo;61;Perdizes;49.61000061;86;-46.674111711361;-23.5452287528575
87;87;Sumar?;36;S?o Paulo;61;Perdizes;139.1600037;87;-46.6837840267394;-23.5439440762462
88;88;Perdizes;36;S?o Paulo;61;Perdizes;168.4499969;88;-46.6806051451411;-23.5348907249667
